Uniprot_Id,Protein_Name,Gene_Name
P01009,"Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT, SPAAT ]",SERPINA1
Q9UK55,"Protein Z-dependent protease inhibitor, PZ-dependent protease inhibitor, PZI (Serpin A10)",SERPINA10
P01011,"Alpha-1-antichymotrypsin, ACT (Cell growth-inhibiting gene 24/25 protein) (Serpin A3) [Cleaved into: Alpha-1-antichymotrypsin His-Pro-less ]",SERPINA3
P29622,"Kallistatin (Kallikrein inhibitor) (Peptidase inhibitor 4, PI-4) (Serpin A4)",SERPINA4
P05154,Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5),SERPINA5 PCI PLANH3 PROCI
P08185,"Corticosteroid-binding globulin, CBG (Serpin A6) (Transcortin)",SERPINA6
P05543,Thyroxine-binding globulin (Serpin A7) (T4-binding globulin),SERPINA7
P30740,"Leukocyte elastase inhibitor, LEI (Monocyte/neutrophil elastase inhibitor, EI, M/NEI) (Peptidase inhibitor 2, PI-2) (Serpin B1)",SERPINB1
P48595,"Serpin B10 (Bomapin) (Peptidase inhibitor 10, PI-10)",SERPINB10
Q96P63,Serpin B12,SERPINB12
P29508,"Serpin B3 (Protein T4-A) (Squamous cell carcinoma antigen 1, SCCA-1)",SERPINB3
P48594,"Serpin B4 (Leupin) (Peptidase inhibitor 11, PI-11) (Squamous cell carcinoma antigen 2, SCCA-2)",SERPINB4
P36952,"Serpin B5 (Maspin) (Peptidase inhibitor 5, PI-5)",SERPINB5
P35237,"Serpin B6 (Cytoplasmic antiproteinase, CAP) (Peptidase inhibitor 6, PI-6) (Placental thrombin inhibitor)",SERPINB6
P50453,"Serpin B9 (Cytoplasmic antiproteinase 3, CAP-3, CAP3) (Peptidase inhibitor 9, PI-9)",SERPINB9
P01008,"Antithrombin-III, ATIII (Serpin C1)",SERPINC1
P05546,"Heparin cofactor 2 (Heparin cofactor II, HC-II) (Protease inhibitor leuserpin-2, HLS2) (Serpin D1)",SERPIND1
P36955,"Pigment epithelium-derived factor, PEDF (Cell proliferation-inducing gene 35 protein) (EPC-1) (Serpin F1)",SERPINF1
P08697,"Alpha-2-antiplasmin, Alpha-2-AP (Alpha-2-plasmin inhibitor, Alpha-2-PI) (Serpin F2)",SERPINF2
P05155,"Plasma protease C1 inhibitor, C1 Inh, C1Inh (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1)",SERPING1
P50454,"Serpin H1 (47 kDa heat shock protein) (Arsenic-transactivated protein 3, AsTP3) (Cell proliferation-inducing gene 14 protein) (Collagen-binding protein, Colligin) (Rheumatoid arthritis-related antigen RA-A47)",SERPINH1
Q99574,Neuroserpin (Peptidase inhibitor 12) (PI-12) (Serpin I1),SERPINI1 PI12
Q01105,"Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase, IGAAD) (PHAPII) (Phosphatase 2A inhibitor I2PP2A, I-2PP2A) (Template-activating factor I, TAF-I)",SET
Q15459,"Splicing factor 3A subunit 1 (SF3a120) (Spliceosome-associated protein 114, SAP 114)",SF3A1
O75533,"Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit, SF3b155) (Spliceosome-associated protein 155, SAP 155)",SF3B1
Q13435,"Splicing factor 3B subunit 2 (Pre-mRNA-splicing factor SF3b 145 kDa subunit, SF3b145) (Spliceosome-associated protein 145, SAP 145)",SF3B2
Q15393,"Splicing factor 3B subunit 3 (Pre-mRNA-splicing factor SF3b 130 kDa subunit, SF3b130) (STAF130) (Spliceosome-associated protein 130, SAP 130)",SF3B3
Q9Y3B4,"Splicing factor 3B subunit 6 (Pre-mRNA branch site protein p14) (SF3b 14 kDa subunit, SF3B14a) (Spliceosome-associated protein, 14-kDa) (Splicing factor 3b, subunit 6, 14kDa)",SF3B6
P31947,14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin),SFN
P23246,"Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein, hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor, PSF, PTB-associated-splicing factor)",SFPQ
Q8IWL2,"Pulmonary surfactant-associated protein A1, PSP-A, PSPA, SP-A, SP-A1 (35 kDa pulmonary surfactant-associated protein) (Alveolar proteinosis protein) (Collectin-4)",SFTPA1
P07988,"Pulmonary surfactant-associated protein B, SP-B (18 kDa pulmonary-surfactant protein) (6 kDa protein) (Pulmonary surfactant-associated proteolipid SPL(Phe))",SFTPB
Q9H9B4,Sideroflexin-1,SFXN1
Q9BWM7,Sideroflexin-3,SFXN3
O75368,SH3 domain-binding glutamic acid-rich-like protein,SH3BGRL
Q9H299,"SH3 domain-binding glutamic acid-rich-like protein 3 (SH3 domain-binding protein 1, SH3BP-1)",SH3BGRL3
Q9Y371,"Endophilin-B1 (Bax-interacting factor 1, Bif-1) (SH3 domain-containing GRB2-like protein B1)",SH3GLB1
Q9NR46,Endophilin-B2 (SH3 domain-containing GRB2-like protein B2),SH3GLB2
Q8N114,Protein shisa-5 (Putative NF-kappa-B-activating protein 120) (Scotin),SHISA5 SCOTIN PSEC0133
P34896,"Serine hydroxymethyltransferase, cytosolic, SHMT, EC 2.1.2.1 (Glycine hydroxymethyltransferase) (Serine methylase)",SHMT1
Q8TF72,"Protein Shroom3 (Shroom-related protein, hShrmL)",SHROOM3
Q9HAT2,"Sialate O-acetylesterase, EC 3.1.1.53 (H-Lse) (Sialic acid-specific 9-O-acetylesterase)",SIAE
A6NMB1,"Sialic acid-binding Ig-like lectin 16, Siglec-16 (Siglec-P16)",SIGLEC16
Q9H173,Nucleotide exchange factor SIL1 (BiP-associated protein) (BAP),SIL1 UNQ545/PRO836
Q5TFQ8,"Signal-regulatory protein beta-1 isoform 3, SIRP-beta-1 isoform 3",SIRPB1
Q8IXJ6,"NAD-dependent protein deacetylase sirtuin-2, EC 2.3.1.286 (NAD-dependent protein defatty-acylase sirtuin-2, EC 2.3.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)",SIRT2
P63208,"S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19, p19A) (Organ of Corti protein 2, OCP-2) (Organ of Corti protein II, OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1)",SKP1
Q16348,"Solute carrier family 15 member 2 (Kidney H(+)/peptide cotransporter) (Oligopeptide transporter, kidney isoform) (Peptide transporter 2)",SLC15A2 PEPT2
P53007,"Tricarboxylate transport protein, mitochondrial (Citrate transport protein, CTP) (Solute carrier family 25 member 1) (Tricarboxylate carrier protein)",SLC25A1
Q02978,"Mitochondrial 2-oxoglutarate/malate carrier protein, OGCP (Solute carrier family 25 member 11)",SLC25A11
O75746,Calcium-binding mitochondrial carrier protein Aralar1 (Mitochondrial aspartate glutamate carrier 1) (Solute carrier family 25 member 12),SLC25A12
Q9UJS0,Calcium-binding mitochondrial carrier protein Aralar2 (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13),SLC25A13
Q6NUK1,Calcium-binding mitochondrial carrier protein SCaMC-1 (Mitochondrial ATP-Mg/Pi carrier protein 1) (Mitochondrial Ca(2+)-dependent solute carrier protein 1) (Small calcium-binding mitochondrial carrier protein 1) (Solute carrier family 25 member 24),SLC25A24
Q00325,"Phosphate carrier protein, mitochondrial (Phosphate transport protein, PTP) (Solute carrier family 25 member 3)",SLC25A3
P12235,"ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (ADP,ATP carrier protein, heart/skeletal muscle isoform T1) (Adenine nucleotide translocator 1, ANT 1) (Solute carrier family 25 member 4)",SLC25A4
P05141,"ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (ADP,ATP carrier protein, fibroblast isoform) (Adenine nucleotide translocator 2, ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed ]",SLC25A5
P12236,"ADP/ATP translocase 3 (ADP,ATP carrier protein 3) (ADP,ATP carrier protein, isoform T2, ANT 2) (Adenine nucleotide translocator 3, ANT 3) (Solute carrier family 25 member 6) [Cleaved into: ADP/ATP translocase 3, N-terminally processed ]",SLC25A6
O14975,"Very long-chain acyl-CoA synthetase, VLACS, VLCS, EC 6.2.1.- (Arachidonate--CoA ligase, EC 6.2.1.15) (Fatty acid transport protein 2, FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase, EC 6.2.1.3) (Phytanate--CoA ligase, EC 6.2.1.24) (Solute carrier family 27 member 2) (THCA-CoA ligase, EC 6.2.1.7) (Very long-chain-fatty-acid-CoA ligase)",SLC27A2
Q99808,"Equilibrative nucleoside transporter 1 (Equilibrative nitrobenzylmercaptopurine riboside-sensitive nucleoside transporter, Equilibrative NBMPR-sensitive nucleoside transporter) (Nucleoside transporter, es-type) (Solute carrier family 29 member 1)",SLC29A1
P11166,"Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain, GLUT-1) (HepG2 glucose transporter)",SLC2A1
O95436,"Sodium-dependent phosphate transport protein 2B, Sodium-phosphate transport protein 2B (Na(+)-dependent phosphate cotransporter 2B) (NaPi3b) (Sodium/phosphate cotransporter 2B, Na(+)/Pi cotransporter 2B, NaPi-2b) (Solute carrier family 34 member 2)",SLC34A2
Q96K37,Solute carrier family 35 member E1,SLC35E1
P08195,4F2 cell-surface antigen heavy chain (4F2hc) (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98),SLC3A2 MDU1
Q53GD3,"Choline transporter-like protein 4 (Solute carrier family 44 member 4) (Thiamine pyrophosphate transporter 1, hTPPT1)",SLC44A4
P02730,"Band 3 anion transport protein (Anion exchange protein 1, AE 1, Anion exchanger 1) (Solute carrier family 4 member 1) (CD antigen CD233)",SLC4A1
O14745,"Na(+)/H(+) exchange regulatory cofactor NHE-RF1, NHERF-1 (Ezrin-radixin-moesin-binding phosphoprotein 50, EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)",SLC9A3R1
Q9H2G2,"STE20-like serine/threonine-protein kinase, STE20-like kinase, hSLK, EC 2.7.11.1 (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase, STE20-related kinase) (Serine/threonine-protein kinase 2)",SLK
P03973,"Antileukoproteinase, ALP (BLPI) (HUSI-1) (Mucus proteinase inhibitor, MPI) (Protease inhibitor WAP4) (Secretory leukocyte protease inhibitor) (Seminal proteinase inhibitor) (WAP four-disulfide core domain protein 4)",SLPI
Q15796,"Mothers against decapentaplegic homolog 2, MAD homolog 2, Mothers against DPP homolog 2 (JV18-1) (Mad-related protein 2, hMAD-2) (SMAD family member 2, SMAD 2, Smad2, hSMAD2)",SMAD2
O60264,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5, SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5, EC 3.6.4.- (Sucrose nonfermenting protein 2 homolog, hSNF2H)",SMARCA5
Q14683,"Structural maintenance of chromosomes protein 1A, SMC protein 1A, SMC-1-alpha, SMC-1A (Sb1.8)",SMC1A
K7EJ46,Small integral membrane protein 22 (Cancer-associated small integral membrane open reading frame 1),SMIM22
P17405,"Sphingomyelin phosphodiesterase (EC 3.1.4.12) (EC 3.1.4.3) (Acid sphingomyelinase) (aSMase) [Cleaved into: Sphingomyelin phosphodiesterase, processed form]",SMPD1 ASM
Q92484,Acid sphingomyelinase-like phosphodiesterase 3a (ASM-like phosphodiesterase 3a) (EC 3.1.4.-),SMPDL3A ASML3A
P52788,"Spermine synthase, SPMSY, EC 2.5.1.22 (Spermidine aminopropyltransferase)",SMS
O00161,"Synaptosomal-associated protein 23, SNAP-23 (Vesicle-membrane fusion protein SNAP-23)",SNAP23
O95295,"SNARE-associated protein Snapin (Biogenesis of lysosome-related organelles complex 1 subunit 7, BLOC-1 subunit 7) (Synaptosomal-associated protein 25-binding protein, SNAP-associated protein)",SNAPIN
P37840,"Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor, NACP)",SNCA
Q7KZF4,"Staphylococcal nuclease domain-containing protein 1, EC 3.1.31.1 (100 kDa coactivator) (EBNA2 coactivator p100) (Tudor domain-containing protein 11) (p100 co-activator)",SND1
P08621,"U1 small nuclear ribonucleoprotein 70 kDa, U1 snRNP 70 kDa, U1-70K, snRNP70",SNRNP70
P09012,"U1 small nuclear ribonucleoprotein A, U1 snRNP A, U1-A, U1A",SNRPA
P62314,"Small nuclear ribonucleoprotein Sm D1, Sm-D1 (Sm-D autoantigen) (snRNP core protein D1)",SNRPD1
P62316,"Small nuclear ribonucleoprotein Sm D2, Sm-D2 (snRNP core protein D2)",SNRPD2
P62318,"Small nuclear ribonucleoprotein Sm D3, Sm-D3 (snRNP core protein D3)",SNRPD3
P62304,"Small nuclear ribonucleoprotein E, snRNP-E (Sm protein E, Sm-E, SmE)",SNRPE
P62306,"Small nuclear ribonucleoprotein F, snRNP-F (Sm protein F, Sm-F, SmF)",SNRPF
P62308,"Small nuclear ribonucleoprotein G, snRNP-G (Sm protein G, Sm-G, SmG)",SNRPG
P63162,"Small nuclear ribonucleoprotein-associated protein N, snRNP-N (Sm protein D, Sm-D) (Sm protein N, Sm-N, SmN) (Tissue-specific-splicing protein)",SNRPN
P55769,"NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (SNU13 homolog, hSNU13) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed ]",SNU13
Q13596,Sorting nexin-1,SNX1
O60749,"Sorting nexin-2 (Transformation-related gene 9 protein, TRG-9)",SNX2
O60493,Sorting nexin-3 (Protein SDP3),SNX3
Q9Y5X3,Sorting nexin-5,SNX5
Q9UNH7,"Sorting nexin-6 (TRAF4-associated factor 2) [Cleaved into: Sorting nexin-6, N-terminally processed ]",SNX6
Q9Y5X1,"Sorting nexin-9 (SH3 and PX domain-containing protein 1, Protein SDP1) (SH3 and PX domain-containing protein 3A)",SNX9
P00441,"Superoxide dismutase [Cu-Zn], EC 1.15.1.1 (Superoxide dismutase 1, hSod1)",SOD1
P04179,"Superoxide dismutase [Mn], mitochondrial, EC 1.15.1.1",SOD2
P08294,"Extracellular superoxide dismutase [Cu-Zn], EC-SOD, EC 1.15.1.1",SOD3
Q9BX66,"Sorbin and SH3 domain-containing protein 1 (Ponsin) (SH3 domain protein 5) (SH3P12) (c-Cbl-associated protein, CAP)",SORBS1
Q00796,"Sorbitol dehydrogenase, SDH, EC 1.1.1.- ((R,R)-butanediol dehydrogenase, EC 1.1.1.4) (L-iditol 2-dehydrogenase, EC 1.1.1.14) (Polyol dehydrogenase) (Ribitol dehydrogenase, RDH, EC 1.1.1.56) (Xylitol dehydrogenase, XDH, EC 1.1.1.9)",SORD
Q96E40,Sperm acrosome-associated protein 9,SPACA9
O75602,Sperm-associated antigen 6 (Protein PF16 homolog) (Repro-SA-1) (Sperm flagellar protein),SPAG6
Q9NS25,Sperm protein associated with the nucleus on the X chromosome B1 (Cancer/testis antigen 11.2) (CT11.2) (Nuclear-associated protein SPAN-Xb) (SPANX-B) (SPANX family member B1) (SPANX family member F1),SPANXB1 SPANXB SPANXB2 SPANXF1
Q9NY87,Sperm protein associated with the nucleus on the X chromosome C (Cancer/testis antigen 11.3) (CT11.3) (Cancer/testis-associated protein CTp11) (Nuclear-associated protein SPAN-Xc) (SPANX-C) (SPANX family member C),SPANXC
P09486,"SPARC (Basement-membrane protein 40, BM-40) (Osteonectin, ON) (Secreted protein acidic and rich in cysteine)",SPARC
Q8TC71,Mitochondria-eating protein (Spermatogenesis-associated protein 18),SPATA18
Q15005,"Signal peptidase complex subunit 2 (Microsomal signal peptidase 25 kDa subunit, SPase 25 kDa subunit)",SPCS2
P61009,"Signal peptidase complex subunit 3 (Microsomal signal peptidase 22/23 kDa subunit, SPC22/23, SPase 22/23 kDa subunit)",SPCS3
P20155,Serine protease inhibitor Kazal-type 2 (Acrosin-trypsin inhibitor) (Epididymis tissue protein Li 172) (HUSI-II),SPINK2
O43278,Kunitz-type protease inhibitor 1 (Hepatocyte growth factor activator inhibitor type 1) (HAI-1),SPINT1 HAI1 UNQ223/PRO256
O43291,Kunitz-type protease inhibitor 2 (Hepatocyte growth factor activator inhibitor type 2) (HAI-2) (Placental bikunin),SPINT2 HAI2 KOP
Q08629,Testican-1 (Protein SPOCK),SPOCK1 SPOCK TIC1 TICN1
Q9BQ16,"Testican-3 (SPARC/osteonectin, CWCV, and Kazal-like domains proteoglycan 3)",SPOCK3 TICN3 UNQ409/PRO771
Q9BUD6,Spondin-2 (Differentially expressed in cancerous and non-cancerous lung cells 1) (DIL-1) (Mindin),SPON2 DIL1 UNQ435/PRO866
P35270,"Sepiapterin reductase, SPR, EC 1.1.1.153",SPR
Q9UBC9,Small proline-rich protein 3 (22 kDa pancornulin) (Cornifin beta) (Esophagin),SPRR3
P02549,"Spectrin alpha chain, erythrocytic 1 (Erythroid alpha-spectrin)",SPTA1
Q13813,"Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain) (Spectrin, non-erythroid alpha subunit)",SPTAN1
P11277,"Spectrin beta chain, erythrocytic (Beta-I spectrin)",SPTB
Q01082,"Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)",SPTBN1
Q9Y6N5,"Sulfide:quinone oxidoreductase, mitochondrial, SQOR, EC 1.8.5.8 (Sulfide dehydrogenase-like) (Sulfide quinone oxidoreductase)",SQOR
P30626,"Sorcin (22 kDa protein) (CP-22, CP22) (V19)",SRI
P37108,"Signal recognition particle 14 kDa protein, SRP14 (18 kDa Alu RNA-binding protein)",SRP14
O76094,"Signal recognition particle subunit SRP72, SRP72 (Signal recognition particle 72 kDa protein)",SRP72
P49458,"Signal recognition particle 9 kDa protein, SRP9",SRP9
Q9UQ35,"Serine/arginine repetitive matrix protein 2 (300 kDa nuclear matrix antigen) (Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa, SR-related nuclear matrix protein of 300 kDa, Ser/Arg-related nuclear matrix protein of 300 kDa) (Splicing coactivator subunit SRm300) (Tax-responsive enhancer element-binding protein 803, TaxREB803)",SRRM2
Q07955,"Serine/arginine-rich splicing factor 1 (Alternative-splicing factor 1, ASF-1) (Splicing factor, arginine/serine-rich 1) (pre-mRNA-splicing factor SF2, P33 subunit)",SRSF1
Q01130,"Serine/arginine-rich splicing factor 2 (Protein PR264) (Splicing component, 35 kDa) (Splicing factor SC35, SC-35) (Splicing factor, arginine/serine-rich 2)",SRSF2
P84103,"Serine/arginine-rich splicing factor 3 (Pre-mRNA-splicing factor SRP20) (Splicing factor, arginine/serine-rich 3)",SRSF3
Q08170,"Serine/arginine-rich splicing factor 4 (Pre-mRNA-splicing factor SRP75) (SRP001LB) (Splicing factor, arginine/serine-rich 4)",SRSF4
Q16629,"Serine/arginine-rich splicing factor 7 (Splicing factor 9G8) (Splicing factor, arginine/serine-rich 7)",SRSF7
Q13242,"Serine/arginine-rich splicing factor 9 (Pre-mRNA-splicing factor SRp30C) (Splicing factor, arginine/serine-rich 9)",SRSF9
P05455,"Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen, SS-B)",SSB
Q04837,"Single-stranded DNA-binding protein, mitochondrial, Mt-SSB, MtSSB (PWP1-interacting protein 17)",SSBP1
P43307,"Translocon-associated protein subunit alpha, TRAP-alpha (Signal sequence receptor subunit alpha, SSR-alpha)",SSR1
Q9UNL2,"Translocon-associated protein subunit gamma, TRAP-gamma (Signal sequence receptor subunit gamma, SSR-gamma)",SSR3
P51571,"Translocon-associated protein subunit delta, TRAP-delta (Signal sequence receptor subunit delta, SSR-delta)",SSR4
P50502,"Hsc70-interacting protein, Hip (Aging-associated protein 2) (Progesterone receptor-associated p48 protein) (Protein FAM10A1) (Putative tumor suppressor ST13) (Renal carcinoma antigen NY-REN-33) (Suppression of tumorigenicity 13 protein)",ST13
P15907,"Beta-galactoside alpha-2,6-sialyltransferase 1 (Alpha 2,6-ST 1) (EC 2.4.3.1) (B-cell antigen CD75) (CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,6-sialyltransferase 1) (ST6Gal I) (ST6GalI) (Sialyltransferase 1)",ST6GAL1 SIAT1
Q92783,"Signal transducing adapter molecule 1, STAM-1",STAM
Q9Y365,"START domain-containing protein 10, StARD10 (Antigen NY-CO-28) (PCTP-like protein, PCTP-L) (Serologically defined colon cancer antigen 28) (StAR-related lipid transfer protein 10)",STARD10
P42224,Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84),STAT1
P40763,Signal transducer and activator of transcription 3 (Acute-phase response factor),STAT3
P42226,Signal transducer and activator of transcription 6 (IL-4 Stat),STAT6
P31948,"Stress-induced-phosphoprotein 1, STI1 (Hsc70/Hsp90-organizing protein, Hop) (Renal carcinoma antigen NY-REN-11) (Transformation-sensitive protein IEF SSP 3521)",STIP1
Q9Y6E0,"Serine/threonine-protein kinase 24, EC 2.7.11.1 (Mammalian STE20-like protein kinase 3, MST-3) (STE20-like kinase MST3) [Cleaved into: Serine/threonine-protein kinase 24 36 kDa subunit (Mammalian STE20-like protein kinase 3 N-terminal, MST3/N); Serine/threonine-protein kinase 24 12 kDa subunit (Mammalian STE20-like protein kinase 3 C-terminal, MST3/C) ]",STK24
P16949,"Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18, Op18) (Phosphoprotein p19, pp19) (Prosolin) (Protein Pr22) (pp17)",STMN1
Q93045,"Stathmin-2 (Superior cervical ganglion-10 protein, Protein SCG10)",STMN2
P27105,Stomatin (Erythrocyte band 7 integral membrane protein) (Erythrocyte membrane protein band 7.2) (Protein 7.2b),STOM
Q9UJZ1,"Stomatin-like protein 2, mitochondrial, SLP-2 (EPB72-like protein 2) (Paraprotein target 7, Paratarg-7)",STOML2
Q9Y3F4,Serine-threonine kinase receptor-associated protein (MAP activator with WD repeats) (UNR-interacting protein) (WD-40 repeat protein PT-WD),STRAP
P46977,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A, Oligosaccharyl transferase subunit STT3A, STT3-A, EC 2.4.99.18 (B5) (Integral membrane protein 1) (Transmembrane protein TMC)",STT3A
O15400,Syntaxin-7,STX7
Q15833,"Syntaxin-binding protein 2 (Protein unc-18 homolog 2, Unc18-2) (Protein unc-18 homolog B, Unc-18B)",STXBP2
P53999,"Activated RNA polymerase II transcriptional coactivator p15 (Positive cofactor 4, PC4) (SUB1 homolog) (p14)",SUB1
P53597,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial, EC 6.2.1.4, EC 6.2.1.5 (Succinyl-CoA synthetase subunit alpha, SCS-alpha)",SUCLG1
Q96I99,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial, EC 6.2.1.4 (GTP-specific succinyl-CoA synthetase subunit beta, G-SCS, GTPSCS) (Succinyl-CoA synthetase beta-G chain, SCS-betaG)",SUCLG2
Q9Y2Z0,Protein SGT1 homolog (Protein 40-6-3) (Sgt1) (Suppressor of G2 allele of SKP1 homolog),SUGT1
P50225,"Sulfotransferase 1A1, ST1A1, EC 2.8.2.1 (Aryl sulfotransferase 1) (HAST1/HAST2) (Phenol sulfotransferase 1) (Phenol-sulfating phenol sulfotransferase 1, P-PST 1) (ST1A3) (Thermostable phenol sulfotransferase, Ts-PST)",SULT1A1
Q8NBJ7,"Inactive C-alpha-formylglycine-generating enzyme 2 (Paralog of formylglycine-generating enzyme, pFGE) (Sulfatase-modifying factor 2)",SUMF2
P61956,"Small ubiquitin-related modifier 2, SUMO-2 (HSMT3) (SMT3 homolog 2) (SUMO-3) (Sentrin-2) (Ubiquitin-like protein SMT3B, Smt3B)",SUMO2
Q9UH99,"SUN domain-containing protein 2 (Protein unc-84 homolog B) (Rab5-interacting protein, Rab5IP) (Sad1/unc-84 protein-like 2)",SUN2
Q9UGT4,Sushi domain-containing protein 2,SUSD2
Q9UH65,"Switch-associated protein 70, SWAP-70",SWAP70
O60506,"Heterogeneous nuclear ribonucleoprotein Q, hnRNP Q (Glycine- and tyrosine-rich RNA-binding protein, GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)",SYNCRIP
Q8NF91,Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1),SYNE1 C6orf98 KIAA0796 KIAA1262 KIAA1756 MYNE1
O43760,Synaptogyrin-2 (Cellugyrin),SYNGR2
Q16563,Synaptophysin-like protein 1 (Pantophysin),SYPL1
Q8IYJ3,Synaptotagmin-like protein 1 (Exophilin-7) (Protein JFC1),SYTL1 SLP1 SB146
P09758,Tumor-associated calcium signal transducer 2 (Cell surface glycoprotein Trop-2) (Membrane component chromosome 1 surface marker 1) (Pancreatic carcinoma marker protein GA733-1),TACSTD2
Q92804,"TATA-binding protein-associated factor 2N (68 kDa TATA-binding protein-associated factor, TAF(II)68, TAFII68) (RNA-binding protein 56)",TAF15
Q01995,"Transgelin (22 kDa actin-binding protein) (Protein WS3-10) (Smooth muscle protein 22-alpha, SM22-alpha)",TAGLN
P37802,Transgelin-2 (Epididymis tissue protein Li 7e) (SM22-alpha homolog),TAGLN2
P37837,"Transaldolase, EC 2.2.1.2",TALDO1
O15533,"Tapasin, TPN, TPSN (NGS-17) (TAP-associated protein) (TAP-binding protein)",TAPBP
Q13148,"TAR DNA-binding protein 43, TDP-43",TARDBP
P26639,"Threonine--tRNA ligase 1, cytoplasmic, EC 6.1.1.3 (Threonyl-tRNA synthetase, ThrRS) (Threonyl-tRNA synthetase 1)",TARS1
Q6P1N9,"Deoxyribonuclease TATDN1, EC 3.1.21.- (Hepatocarcinoma high expression protein)",TATDN1
O14907,"Tax1-binding protein 3 (Glutaminase-interacting protein 3) (Tax interaction protein 1, TIP-1) (Tax-interacting protein 1)",TAX1BP3
O75347,"Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A, CFA)",TBCA
Q99426,Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B),TBCB
Q5QJ74,"Tubulin-specific chaperone cofactor E-like protein, EL (Leucine-rich repeat-containing protein 35)",TBCEL
P23193,Transcription elongation factor A protein 1 (Transcription elongation factor S-II protein 1) (Transcription elongation factor TFIIS.o),TCEA1
P20061,"Transcobalamin-1, TC-1 (Haptocorrin, HC) (Protein R) (Transcobalamin I, TC I, TCI)",TCN1
P17987,"T-complex protein 1 subunit alpha, TCP-1-alpha (CCT-alpha)",TCP1
Q9NZ01,"Very-long-chain enoyl-CoA reductase, EC 1.3.1.93 (Synaptic glycoprotein SC2) (Trans-2,3-enoyl-CoA reductase, TER)",TECR
Q9BY14,Testis-expressed protein 101 (Cell surface receptor NYD-SP8) (Scleroderma-associated autoantigen) (Spermatogenesis-related gene protein),TEX101 SGRG UNQ867/PRO1884
P02787,"Serotransferrin, Transferrin (Beta-1 metal-binding globulin) (Siderophilin)",TF
